Date,High,Low,Open,Close,Volume,Adj Close
2017-04-06,1186.579956,1163.390015,1178.939941,1176.900024,317022016,1176.900024
2017-04-07,1184.97998,1162.579956,1172.650024,1175.949951,209312000,1175.949951
2017-04-08,1197.209961,1171.859985,1176.569946,1187.869995,242343008,1187.869995
2017-04-09,1190.339966,1179.040039,1187.300049,1187.130005,215883008,1187.130005
2017-04-10,1208.069946,1187.459961,1187.459961,1205.01001,216182000,1205.01001
2017-04-11,1207.140015,1196.76001,1204.810059,1200.369995,288702016,1200.369995
2017-04-12,1205.890015,1156.439941,1201.02002,1169.280029,351968992,1169.280029
2017-04-13,1190.800049,1159.790039,1170.329956,1167.540039,254827008,1167.540039
2017-04-14,1188,1164.959961,1167.300049,1172.52002,203559008,1172.52002
2017-04-15,1187.219971,1172.609985,1172.609985,1182.939941,183231008,1182.939941
2017-04-16,1194.900024,1172.650024,1183.25,1193.910034,253206000,1193.910034
2017-04-17,1217.569946,1193.77002,1193.77002,1211.670044,270524000,1211.670044
2017-04-18,1215.51001,1205.079956,1212.130005,1210.290039,288060992,1210.290039
2017-04-19,1240.790039,1208.410034,1211.079956,1229.079956,315108000,1229.079956
2017-04-20,1235.939941,1215.560059,1229.420044,1222.050049,272167008,1222.050049
2017-04-21,1235.560059,1208.469971,1222.709961,1231.709961,249320000,1231.709961
2017-04-22,1232.199951,1203.939941,1231.920044,1207.209961,258951008,1207.209961
2017-04-23,1250.939941,1209.630005,1209.630005,1250.150024,235806000,1250.150024
2017-04-24,1267.579956,1249.969971,1250.449951,1265.48999,242556000,1265.48999
2017-04-25,1294.829956,1265.930054,1265.98999,1281.079956,329631008,1281.079956
2017-04-26,1319.699951,1281.300049,1281.880005,1317.72998,449196992,1317.72998
2017-04-27,1331.280029,1292.369995,1317.73999,1316.47998,527488992,1316.47998
2017-04-28,1327.199951,1315.209961,1317.839966,1321.790039,422705984,1321.790039
2017-04-29,1347.910034,1314.920044,1321.869995,1347.890015,413115008,1347.890015
2017-04-30,1434.319946,1348.300049,1348.300049,1421.599976,713624000,1421.599976
2017-05-01,1473.900024,1415.689941,1421.030029,1452.819946,477337984,1452.819946
2017-05-02,1492.77002,1447.48999,1453.780029,1490.089966,583795968,1490.089966
2017-05-03,1608.910034,1490.719971,1490.719971,1537.670044,933548992,1537.670044
2017-05-04,1618.030029,1530.310059,1540.869995,1555.449951,946035968,1555.449951
2017-05-05,1578.800049,1542.5,1556.810059,1578.800049,582529984,1578.800049
2017-05-06,1596.719971,1559.76001,1579.469971,1596.709961,1080029952,1596.709961
2017-05-07,1723.349976,1596.920044,1596.920044,1723.349976,1340320000,1723.349976
2017-05-08,1833.48999,1716.300049,1723.890015,1755.359985,1167920000,1755.359985
2017-05-09,1788.439941,1719.099976,1756.52002,1787.130005,915723008,1787.130005
2017-05-10,1873.930054,1755.349976,1780.369995,1848.569946,799489984,1848.569946
2017-05-11,1856.150024,1694.01001,1845.76001,1724.23999,740984000,1724.23999
2017-05-12,1812.98999,1651.079956,1723.119995,1804.910034,579635008,1804.910034
2017-05-13,1831.420044,1776.619995,1800.859985,1808.910034,437196000,1808.910034
